id,text,urgency,disaster_type,location_mentioned
1,"HELP! Trapped on second floor, water rising fast. 3 kids with me. 1847 Oak St, Houston TX. Please send rescue! #HarveyFlood #Houston",Critical,Flood,Houston
2,"SOS! Building collapsed at 5th and Main in downtown LA. People screaming under rubble. Need heavy equipment NOW! #LAEarthquake",Critical,Earthquake,Los Angeles
3,"Wildfire jumped the highway — we're surrounded near Paradise CA. No way out. Fire on all sides. HELP US #CampFire #Paradise",Critical,Wildfire,Paradise
4,"My grandmother is trapped in her attic at 2301 Elm Dr, Miami. Water up to the roof. She can't swim. PLEASE HELP #HurricaneIan",Critical,Hurricane,Miami
5,"EMERGENCY! Flash flood swept our car off the road near Cedar Rapids. My daughter is injured and bleeding. We're on the roof of the car. GPS: 41.9779° N 91.6656° W",Critical,Flood,Cedar Rapids
6,"Entire apartment building on fire in Santa Rosa. Residents jumping from windows. Multiple injuries. Corner of Mendocino Ave and College. #TubbsFire",Critical,Wildfire,Santa Rosa
7,"TRAPPED in collapsed parking garage downtown San Francisco. Can hear others crying for help. 3rd floor pancaked. Send search and rescue! #SFQuake",Critical,Earthquake,San Francisco
8,"Storm surge flooding our nursing home in Fort Myers. 40+ elderly patients, some on oxygen. Generator failed. Water at 4 feet and rising! #HurricaneIan",Critical,Hurricane,Fort Myers
9,"PLEASE HELP my neighbor is having a heart attack and we can't get EMS through the floodwaters. We're at Brays Bayou area Houston. No boats available!! #TexasFlood",Critical,Flood,Houston
10,"MAYDAY — house fully engulfed, family of 5 trapped in basement. 742 Pine Ridge Rd, Redding CA. Fire dept can't reach us. #CarrFire",Critical,Wildfire,Redding
11,"Building collapsed on 7th Street, Anchorage. I can see at least 10 people trapped. Gas leak smell is strong. EVACUATE THE AREA! #AlaskaEarthquake",Critical,Earthquake,Anchorage
12,"Category 5 winds ripped roof off hospital in Panama City. ICU patients exposed to elements. Need immediate helicopter evac! #HurricaneMichael",Critical,Hurricane,Panama City
13,"URGENT!! 3 children trapped in submerged school bus on Route 9 near Baton Rouge. Water moving fast. Any boats in the area PLEASE COME #BatonRougeFlood",Critical,Flood,Baton Rouge
14,"Wildfire overran our evacuation route on Highway 101 near Ventura. Dozens of cars stopped. People running on foot. Air is unbreathable #ThomasFire",Critical,Wildfire,Ventura
15,"6.8 magnitude aftershock just hit — more buildings down in downtown Seattle. People bleeding in the streets. This is catastrophic #SeattleQuake #PNW",Critical,Earthquake,Seattle
16,"My mom is diabetic and insulin dependent. Trapped in flooded house at 445 Magnolia Blvd, Lake Charles. No power no phone battery dying HELP #HurricaneLaura",Critical,Hurricane,Lake Charles
17,"WATER IS AT CEILING LEVEL. Family of 6 in attic at 1200 block of Tidwell Rd Houston. We have an infant. Breaking through roof. SEND BOATS #HoustonFlood",Critical,Flood,Houston
18,"Can see flames 200 feet high approaching subdivision in Napa Valley. Mandatory evac but roads are blocked by fallen trees. WE CANNOT LEAVE #NapaFire",Critical,Wildfire,Napa
19,"Apartment complex pancaked — 4 stories now 1. NE corner of Hayward and Mission Blvd, Hayward CA. Dozens trapped. Need every rescue unit available #HaywardFault",Critical,Earthquake,Hayward
20,"Hospital generator failed during Cat 4 hurricane in Pensacola. Ventilator patients in critical danger. Need backup power IMMEDIATELY #HurricaneSally",Critical,Hurricane,Pensacola
21,"FLASH FLOOD! Cars being swept away on I-10 near Beaumont TX. I'm on an overpass with about 30 other people. Water still rising fast #TXFlood",Critical,Flood,Beaumont
22,"We're trapped on a ridge near Malibu. Fire coming from both canyons. Helicopter is our only option. 5 adults 2 children #WoolseyFire #Malibu",Critical,Wildfire,Malibu
23,"MAJOR COLLAPSE at the mall in Memphis after earthquake. I can hear people screaming from under concrete. Parking structure down too #MemphisEarthquake",Critical,Earthquake,Memphis
24,"Storm surge 15 feet at our house in Cape Coral. We're in the attic and water is still coming. Family of 4, one wheelchair-bound. #HurricaneIan #CapeCoral",Critical,Hurricane,Cape Coral
25,"My street in Nashville is a river. Elderly couple next door couldn't evacuate in time. Their house is submerged. Please send rescue to 800 block of Shelby Ave #NashvilleFlood",Critical,Flood,Nashville
26,"Fire tornado forming near Redding CA. Never seen anything like this. Houses exploding. People still in their homes. THIS IS NOT A DRILL #CarrFire #Redding",Critical,Wildfire,Redding
27,"Gas main ruptured after earthquake in Salt Lake City. Explosions on 4th South. Buildings on fire. People running everywhere. Total chaos #SLCQuake",Critical,Earthquake,Salt Lake City
28,"Category 4 eyewall passing over Naples FL right now. Roof gone. Walls cracking. 911 not answering. If anyone can hear this WE NEED HELP #HurricaneIrma",Critical,Hurricane,Naples
29,"Levee breached near downtown Davenport IA. Wall of water coming through River Drive. People in buildings need to get to upper floors NOW #IowaFlood #Davenport",Critical,Flood,Davenport
30,"Entire neighborhood of Boulder Creek on fire. Can't breathe. Roads are melting. We abandoned our car and are running uphill on foot with our kids #CZUFire",Critical,Wildfire,Boulder Creek
31,"BRIDGE COLLAPSED during earthquake in Portland OR. Cars fell into river. Can see people in the water. Coast Guard where are you?! #PDXQuake",Critical,Earthquake,Portland
32,"Eye of hurricane passing over Key West. Our shelter roof just failed. 200+ people exposed. Children screaming. Need immediate structural support #HurricaneIrma",Critical,Hurricane,Key West
